"title","director","release_year","reference_year","entertainment","history","imdb_url","imdb_rating","img_url","img_title","history_numeric","entertainment_numeric","histertainment_numeric"
"Waterloo","Sergei Bondarchuk",1970,"1815","C-","A-","https://www.imdb.com/title/tt0066549/",7.3,"https://m.media-amazon.com/images/M/MV5BNGQxYzM1ZWUtYjdlMS00M2EyLTg1MmUtNTFmZTE3NGVkMTgyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","waterloo.jpg",12,6,18
"Mary, Queen of Scots","Charles Jarrot",1971,"1587","C+","C+","https://www.imdb.com/title/tt0067402/",7.2,"https://m.media-amazon.com/images/M/MV5BMGEzYmRmYzctZTdjMC00NWQ4LThiMDUtNzQ5M2VhNDQ1M2ViXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","maryqueenofscots.jpg",8,8,16
"Nicholas and Alexandra","Franklin J. Schaffner",1971,"1917","C+","B+","https://www.imdb.com/title/tt0067483/",7.2,"https://m.media-amazon.com/images/M/MV5BMjNiZmU0MDYtMmQwNi00OWY3LTg4MWItYTIyOTFkYTJiMWFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","nicholasandalexandra.jpg",11,8,19
"1776","Peter H. Hunt",1972,"1776","D","C","https://www.imdb.com/title/tt0068156/",7.6,"https://m.media-amazon.com/images/M/MV5BNGZhYWMxMDMtODU2Yi00MDVmLWI4ODYtMzgyNjg4NGNjZjM2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg","1776.jpg",7,4,11
"Lisztomania","Ken Russel",1975,"1847","Fail","Fail","https://www.imdb.com/title/tt0073298/",6.3,"https://m.media-amazon.com/images/M/MV5BNGYxOWVhZTktYjZmMi00ZDk5LTljMzQtMDI5MDNlZjE0NjE2XkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","lisztomania.jpg",0,0,0
"Winstanley","Kevin Brownlow",1975,"1649","C+","A","https://www.imdb.com/title/tt0073911/",7.1,"https://m.media-amazon.com/images/M/MV5BZDU2NTEzYmUtYWE1MC00ZDkwLWJjOGItZGI1MzQwOWEzMDMzXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_UX182_CR0,0,182,268_AL_.jpg","winstanley.jpg",13,8,21
"All the President's Men","Alan J. Pakula",1976,"1974","B+","B+","https://www.imdb.com/title/tt0074119/",8,"https://m.media-amazon.com/images/M/MV5BOWI2YWQxM2MtY2U4Yi00YjgzLTgwNzktN2ExNTgzNTIzMmUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg","allthepresidentsmen.jpg",11,11,22
"Cross of Iron","Sam Peckinpah",1977,"1943","C+","B+","https://www.imdb.com/title/tt0074695/",7.5,"https://m.media-amazon.com/images/M/MV5BZGM3MWJjZTUtZmYyYi00NWVkLTgzN2ItM2U4ZmExZjIzYjVmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg","crossofiron.jpg",11,8,19
"A Bridge Too Far","Richard Attenborough",1977,"1944","D","A-","https://www.imdb.com/title/tt0075784/",7.4,"https://m.media-amazon.com/images/M/MV5BMTczNjg0MzQyM15BMl5BanBnXkFtZTcwMjY0NjAzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg","abridgetoofar.jpg",12,4,16
"Lion of the Desert","Moustapha Akkad",1981,"1929","B","B-","https://www.imdb.com/title/tt0081059/",8.4,"https://m.media-amazon.com/images/M/MV5BNGUxMDYzNjktNjgwZi00ZjIwLTgwNzItNDQ5Mzg5ZWU0YWRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR7,0,182,268_AL_.jpg","lionofthedesert.jpg",9,10,19
